Hugo_Symbol,T_Paired,P_Paired
KIF5B,5.216781913526706,3.663292687092186e-06
SNN,2.24418093132176,0.02937113181607294
ST6GALNAC5,13.691671053997363,2.2672968289828877e-18
PSMB7,-7.383414119117346,1.6933963138130349e-09
UBE2H,-4.245545900481828,9.685486382977741e-05
ASB11,3.7924685914988663,0.0004100159360678924
PHF6,-6.540858100923147,3.4138503562739635e-08
NUDCD1,-7.897528250812224,2.7412775081594706e-10
CAPZA2,6.831130219380892,1.211705460282621e-08
ARHGAP29,13.504310680880382,3.876954735269711e-18
AGTR1,16.116730452117928,3.1990976578536803e-21
FAM72C,-7.387685740662884,1.6678778943528909e-09
WDR66,-6.497841282894981,3.98000236358072e-08
RCAN2,10.116742246915182,1.3675000510366735e-13
CLEC4E,10.114814529150637,1.376242207227276e-13
NTN3,-3.960515193371009,0.00024197922176268197
SEPN1,5.417387978275312,1.822694129059364e-06
GDF1,-2.448374422664681,0.017976786773097896
ST14,-7.941205294424673,2.350081197790031e-10
CIAPIN1,-4.034010299399332,0.00019156023537457724
RBMS3,17.074473466950955,2.875410246582264e-22
EIF3E,-3.341424718176726,0.001601521091803844
SDAD1,-3.90275871766044,0.00029038333319072877
ACVRL1,21.940098987392954,5.4010056350401866e-27
PLB1,2.7598783259988338,0.008110565027007195
MAP3K4,-2.9210219181861827,0.005262154839571723
HIST1H2BL,-5.739467799824037,5.882772435515565e-07
TARS2,-3.820994994360035,0.0003751693777216673
PUS7,-10.60859680388023,2.730647162551448e-14
ZNF132,7.655616960944069,6.445778069244592e-10
DPF1,-4.793599901357819,1.5641054421962743e-05
RMI2,-9.859427135104164,3.2140622242779357e-13
C6orf10,-3.544220262090534,0.0008767663418635938
ZNRD1,-4.819497930868814,1.432520934272564e-05
IGSF10,12.966815653082318,1.8512861417058772e-17
PCDHGA9,4.970701471649938,8.553330927599943e-06
ANKRD7,-4.395003087198546,5.93528786895566e-05
MTCH2,-10.098164726969081,1.4541400361336758e-13
FOSB,5.228758867403698,3.5143169308197693e-06
KCNJ14,-7.481169296923619,1.1965581529720654e-09
JPH2,7.418788498342117,1.4933414421421465e-09
CRIP2,13.48643591027193,4.081476289364377e-18
PALMD,12.1578670574835,2.086714946650276e-16
GINM1,7.59259363007487,8.058534069732842e-10
APOBEC3C,-4.55765411709238,3.459993577201901e-05
CYP24A1,-3.7497062909330476,0.0004681480474570725
IGFALS,14.748531645794106,1.1920641979756314e-19
ZNF705A,4.000007672623868,0.00021347528042204742
CCT4,-6.071456941854672,1.8161630315977923e-07
BEND7,6.6897474359929685,2.0068754481480116e-08
CXorf36,7.551231201039272,9.331558530690262e-10
LRRC46,4.518500847276526,3.942344624453046e-05
RPL35A,-5.367352836606832,2.1704421776320907e-06
C5orf55,-3.8310892419249694,0.0003635361259546548
NPRL3,-2.237851588670741,0.02980934982081416
FOXA2,15.380750566961984,2.181200129398651e-20
MSI2,-9.270556817574281,2.338658910043708e-12
RPL21,3.9222495111728994,0.0002730873886521684
TRUB2,-7.648501051167897,6.610292354944932e-10
EVC,4.018221474804371,0.00020145094723688302
CEP57L1,-4.290032484618986,8.37718843370591e-05
PANX3,-2.021147540975833,0.04874533482298039
ENTPD1,7.928182421440773,2.4604537579405086e-10
EXOSC2,-9.46462574903753,1.2106927438775108e-12
UTP6,-7.13243883902217,4.137275752792926e-09
SH3YL1,3.6762636753514992,0.0005869350660854098
SORBS1,16.85827844103124,4.911252062459135e-22
MTMR2,-4.479403018181283,4.489419869954633e-05
NOC2L,-7.237158127454889,2.8492312828395303e-09
MT-ND1,7.632616836480527,6.992899548881473e-10
MAP3K7,-7.18968063397196,3.374048691650401e-09
VWA3A,5.665299218784711,7.639978659440288e-07
STEAP1,-8.885148508823342,8.74975385429672e-12
PIK3C2A,6.593742580887575,2.8268537689923914e-08
DNM2,8.150730395378796,1.1248903751978857e-10
CYTH1,9.918229743336344,2.6420473333428934e-13
FAM195B,4.325705643526063,7.453942900486635e-05
RNF8,-3.3912455040713407,0.0013834329533222783
OR51I1,2.251452390154547,0.02887474452435149
ALMS1,-4.361387424297693,6.629934645633597e-05
TRIQK,5.28055221072565,2.9360523172873892e-06
SLC25A3,-2.5107784287703248,0.015395464569598897
P2RX4,5.354789143787623,2.2676078080367427e-06
NKX3-2,-2.8710670544890546,0.0060261873364947545
ACTN1,-3.8500379350816503,0.0003426302040827407
C15orf61,-3.638778638594005,0.0006582201908583838
CD80,7.563517025619852,8.933672947736694e-10
OFCC1,-5.716908948532898,6.369864503366771e-07
AL078585.1,6.355530711716339,6.610313901127893e-08
ACTR1A,13.125669176857643,1.1618662939131621e-17
TRNP1,7.390054589887538,1.653893195877771e-09
C9orf66,5.871355895210601,3.691679347794515e-07
